ID, spore print color, population, habitat, edible or poisonous, bruises, odor
1927,k,s,g,e,f,n
1928,k,a,g,e,f,n
1929,k,s,g,e,f,n
1930,k,s,g,e,f,n
1931,k,s,u,p,t,p
1932,n,s,g,e,t,a
1933,n,v,d,e,t,n
1934,k,a,g,e,f,n
1935,n,s,g,e,f,n
1936,n,s,g,e,f,n
1937,u,v,d,e,t,l
1938,n,a,g,e,f,n
1939,k,a,g,e,f,n
1940,k,s,g,e,f,n
1941,k,v,d,e,t,n
1942,k,v,d,e,t,n
1943,k,v,d,e,t,n
1944,k,s,g,e,f,n
1945,n,s,g,e,f,n
1946,n,v,u,p,t,p
1947,n,s,g,e,f,n
1948,n,y,d,e,t,n
1949,n,v,d,e,t,n
1950,n,a,g,e,f,n
1951,n,v,d,e,t,n
1952,n,v,d,e,t,n
1953,k,y,d,e,t,n
1954,n,v,d,e,t,n
1955,k,v,d,e,t,n
1956,k,v,g,p,t,p
1957,k,s,g,e,f,n
1958,n,v,d,e,t,n
1959,n,y,d,e,t,n
1960,n,s,g,p,t,p
1961,k,y,d,e,t,n
1962,k,s,g,e,f,n
1963,k,v,d,e,t,n
1964,n,s,g,e,f,n
1965,n,a,g,e,f,n
1966,k,s,g,e,f,n
1967,n,v,d,e,t,n
1968,k,s,g,e,f,n
1969,n,v,d,e,t,n
1970,k,s,g,e,f,n
1971,k,a,g,e,f,n
1972,n,s,g,e,f,n
1973,k,v,u,p,t,p
1974,k,y,d,e,t,n
1975,n,s,g,e,f,n
1976,n,s,g,p,t,p
1977,n,v,d,e,t,n
1978,n,y,d,e,t,n
1979,n,a,g,e,f,n
1980,k,v,d,e,t,n
1981,n,s,g,e,f,n
1982,k,s,g,e,f,n
1983,k,n,m,e,t,l
1984,n,s,g,e,f,n
1985,n,v,d,e,t,n
1986,k,y,d,e,t,n
1987,n,a,g,e,f,n
1988,n,s,u,p,t,p
1989,n,v,d,e,t,n
1990,k,s,u,p,t,p
1991,n,v,g,p,t,p
1992,n,v,d,e,t,n
1993,n,a,g,e,f,n
1994,n,y,d,e,t,n
1995,k,a,g,e,f,n
1996,n,y,d,e,t,n
1997,n,s,g,e,f,n
1998,k,a,g,e,f,n
1999,k,a,g,e,f,n
2000,k,s,g,e,f,n
2001,n,v,d,e,t,n
2002,n,v,d,e,t,n
2003,k,a,g,e,f,n
2004,k,y,d,e,t,n
2005,n,v,u,p,t,p
2006,n,s,g,e,t,l
2007,k,s,g,p,t,p
2008,n,s,g,e,f,n
2009,k,a,g,e,f,n
2010,n,v,g,p,t,p
2011,n,a,g,e,f,n
2012,k,s,g,e,f,n
2013,k,v,d,e,t,n
2014,k,a,g,e,f,n
2015,n,s,g,e,f,n
2016,n,a,g,e,f,n
2017,k,s,g,e,f,n
2018,n,v,d,e,t,a
2019,n,v,d,e,t,a
2020,n,a,g,e,f,n
2021,n,y,d,e,t,n
2022,k,y,d,e,t,n
2023,n,y,d,e,t,n
2024,k,s,g,e,f,n
2025,n,y,d,e,t,n
2026,k,v,d,e,t,n
2027,k,a,g,e,f,n
2028,n,v,d,e,t,n
2029,k,a,g,e,f,n
2030,k,s,m,e,t,l
2031,k,v,d,e,t,n
2032,n,s,g,e,f,n
2033,k,y,d,e,t,n
2034,k,y,d,e,t,n
2035,k,v,d,e,t,n
2036,n,a,g,e,f,n
2037,k,s,g,e,f,n
2038,n,a,g,e,f,n
2039,k,a,g,e,f,n
2040,k,y,d,e,t,n
2041,n,y,d,e,t,n
2042,k,y,d,e,t,n
2043,n,s,g,e,f,n
2044,n,s,g,e,f,n
2045,k,s,g,e,f,n
2046,n,s,p,e,t,a
2047,n,v,d,e,t,n
2048,k,s,g,e,f,n
2049,k,v,d,e,t,n
2050,n,y,d,e,t,n
2051,n,a,g,e,f,n
2052,k,s,m,e,t,a
2053,n,s,g,e,f,n
2054,n,a,g,e,f,n
2055,n,v,d,e,t,n
2056,k,s,g,e,f,n
2057,n,v,d,e,t,n
2058,n,y,d,e,t,n
2059,n,a,g,e,f,n
2060,k,n,m,e,t,a
2061,n,s,g,e,f,n
2062,n,v,g,p,t,p
2063,n,s,g,e,f,n
2064,n,v,d,e,t,n
2065,n,s,g,e,f,n
2066,k,v,d,e,t,n
2067,n,v,d,e,t,n
2068,k,v,u,p,t,p
2069,n,a,g,e,f,n
2070,k,y,d,e,t,n
2071,k,y,d,e,t,n
2072,k,v,d,e,t,n
2073,n,y,d,e,t,n
2074,k,y,d,e,t,n
2075,n,v,u,p,t,p
2076,k,n,m,e,t,l
2077,n,v,d,e,t,n
2078,n,y,d,e,t,n
2079,n,s,g,e,f,n
2080,n,y,d,e,t,n
2081,n,s,g,e,f,n
2082,n,s,g,e,f,n
2083,n,v,d,e,t,n
2084,n,v,d,e,t,n
2085,k,s,g,e,f,n
2086,k,s,g,e,f,n
2087,n,s,g,e,f,n
2088,k,y,d,e,t,n
2089,n,y,d,e,t,n
2090,k,s,u,p,t,p
2091,k,v,d,e,t,n
2092,n,a,g,e,f,n
2093,n,s,m,e,t,a
2094,n,s,g,e,f,n
2095,k,s,g,e,f,n
2096,k,y,d,e,t,n
2097,n,v,d,e,t,n
2098,k,s,g,e,f,n
2099,k,s,g,p,t,p
2100,n,a,g,e,f,n
2101,k,y,d,e,t,n
2102,n,v,d,e,t,n
2103,n,v,d,e,t,n
2104,n,y,d,e,t,n
2105,n,y,d,e,t,n
2106,k,y,d,e,t,n
2107,n,v,d,e,t,n
2108,k,y,d,e,t,n
2109,k,v,d,e,t,n
2110,k,v,d,e,t,n
2111,k,v,d,e,t,n
2112,n,v,d,e,t,n
2113,n,v,g,p,t,p
2114,n,v,d,e,t,n
2115,k,v,d,e,t,n
2116,n,y,d,e,t,n
2117,k,y,d,e,t,n
2118,k,v,d,e,t,n
2119,k,v,d,e,t,n
2120,k,v,d,e,t,n
2121,n,y,d,e,t,n
2122,n,y,d,e,t,n
2123,k,v,d,e,t,n
2124,k,v,d,e,t,n
2125,k,v,d,e,t,n
2126,n,v,d,e,t,n
2127,n,y,d,e,t,n
2128,k,v,d,e,t,n
2129,h,y,g,p,f,f
2130,k,s,g,p,t,p
2131,k,v,d,e,t,n
2132,n,s,g,e,f,n
2133,n,v,d,e,t,n
2134,n,y,d,e,t,n
2135,n,v,d,e,t,n
2136,n,y,d,e,t,n
2137,n,v,d,e,t,n
2138,k,v,d,e,t,n
2139,n,y,d,e,t,n
2140,k,y,d,e,t,n
2141,k,v,d,e,t,n
2142,k,v,d,e,t,n
2143,n,y,d,e,t,n
2144,k,y,d,e,t,n
2145,n,v,d,e,t,n
2146,k,v,d,e,t,n
2147,n,v,d,e,t,n
2148,n,v,u,p,t,p
2149,n,y,d,e,t,n
2150,k,s,g,p,t,p
2151,k,y,d,e,t,n
2152,k,y,d,e,t,n
2153,n,v,d,e,t,n
2154,n,v,d,e,t,n
2155,n,y,d,e,t,n
2156,n,v,d,e,t,n
2157,n,y,d,e,t,n
2158,n,v,d,e,t,n
2159,n,y,d,e,t,n
2160,k,v,d,e,t,n
2161,k,y,d,e,t,n
2162,n,y,d,e,t,n
2163,k,v,d,e,t,n
2164,k,y,d,e,t,n
2165,n,y,d,e,t,n
2166,n,y,d,e,t,n
2167,n,y,d,e,t,n
2168,k,y,d,e,t,n
2169,k,y,d,e,t,n
2170,n,v,d,e,t,n
2171,k,v,d,e,t,n
2172,n,v,d,e,t,n
2173,n,v,d,e,t,n
2174,k,v,d,e,t,n
2175,n,y,d,e,t,n
2176,k,v,d,e,t,n
2177,k,y,d,e,t,n
2178,n,v,d,e,t,n
2179,h,y,d,p,f,f
2180,k,y,d,e,t,n
2181,n,y,d,e,t,n
2182,n,v,d,e,t,n
2183,n,y,d,e,t,n
2184,k,v,d,e,t,n
2185,k,v,d,e,t,n
2186,k,y,d,e,t,n
2187,k,y,d,e,t,n
2188,k,y,d,e,t,n
2189,k,v,d,e,t,n
2190,n,v,d,e,t,n
2191,k,v,d,e,t,n
2192,k,y,d,e,t,n
2193,n,s,g,e,f,n
2194,k,y,d,e,t,n
2195,k,y,d,e,t,n
2196,n,v,d,e,t,n
2197,k,v,d,e,t,n
2198,k,y,d,e,t,n
2199,n,v,d,e,t,n
2200,n,y,d,e,t,n
2201,n,a,g,e,f,n
2202,n,y,d,e,t,n
2203,k,v,d,e,t,n
2204,k,y,d,e,t,n
2205,k,y,d,e,t,n
2206,n,v,d,e,t,n
2207,k,v,d,e,t,n
2208,k,y,d,e,t,n
2209,k,y,d,e,t,n
2210,n,v,d,e,t,n
2211,n,s,d,p,f,c
2212,n,y,d,e,t,n
2213,k,v,d,e,t,n
2214,k,y,d,e,t,n
2215,n,v,d,e,t,n
2216,n,v,d,e,t,n
2217,n,y,d,e,t,n
2218,n,v,d,e,t,n
2219,k,v,d,e,t,n
2220,k,v,d,e,t,n
2221,n,v,d,e,t,n
2222,k,v,d,e,t,n
2223,n,v,d,e,t,n
2224,n,v,d,e,t,n
2225,n,y,d,e,t,n
2226,k,v,d,e,t,n
2227,n,y,d,e,t,n
2228,n,s,g,e,f,n
2229,k,y,d,e,t,n
2230,k,v,d,e,t,n
2231,n,v,d,e,t,n
2232,k,v,d,e,t,n
2233,n,y,d,e,t,n
2234,n,v,d,e,t,n
2235,k,v,d,e,t,n
2236,k,y,d,e,t,n
2237,n,y,d,e,t,n
2238,k,s,g,e,f,n
2239,h,y,p,p,f,f
2240,k,y,d,e,t,n
2241,n,y,d,e,t,n
2242,k,v,g,p,t,p
2243,k,y,d,e,t,n
2244,n,y,d,e,t,n
2245,k,v,d,e,t,n
2246,k,v,d,e,t,n
2247,n,v,d,e,t,n
2248,n,a,g,e,f,n
2249,n,y,d,e,t,n
2250,k,y,d,e,t,n
2251,n,y,d,e,t,n
2252,k,y,d,e,t,n
2253,n,s,g,e,f,n
2254,n,v,d,e,t,n
2255,k,v,d,e,t,n
2256,k,y,d,e,t,n
2257,n,y,d,e,t,n
2258,n,v,d,e,t,n
2259,n,v,d,e,t,n
2260,n,v,d,e,t,n
2261,n,a,g,e,f,n
2262,k,y,d,e,t,n
2263,k,y,d,e,t,n
2264,n,y,d,e,t,n
2265,k,y,d,e,t,n
2266,k,y,d,e,t,n
2267,k,a,g,e,f,n
2268,n,v,d,e,t,n
2269,k,y,d,e,t,n
2270,n,v,d,e,t,n
2271,n,v,d,e,t,n
2272,k,s,g,e,f,n
2273,k,v,d,e,t,n
2274,k,y,d,e,t,n
2275,k,v,d,e,t,n
2276,n,y,d,e,t,n
2277,k,y,d,e,t,n
2278,n,y,d,e,t,n
2279,n,v,d,e,t,n
2280,n,v,d,e,t,n
2281,k,y,d,e,t,n
2282,n,y,d,e,t,n
2283,n,v,d,e,t,n
2284,k,y,d,e,t,n
2285,k,y,d,e,t,n
2286,k,v,d,p,f,c
2287,k,y,d,e,t,n
2288,n,y,d,e,t,n
2289,k,s,u,p,t,p
2290,k,y,d,e,t,n
2291,k,y,d,e,t,n
2292,k,v,d,e,t,n
2293,n,v,d,e,t,n
2294,k,v,d,e,t,n
2295,n,y,d,e,t,n
2296,k,s,g,e,f,n
2297,n,v,d,e,t,n
2298,n,s,g,e,f,n
2299,n,y,d,e,t,n
2300,k,v,d,e,t,n
2301,n,v,d,e,t,n
2302,k,v,d,e,t,n
2303,n,v,d,e,t,n
2304,k,y,d,e,t,n
2305,k,v,d,e,t,n
2306,n,y,d,e,t,n
2307,n,v,d,e,t,n
2308,k,v,d,e,t,n
2309,k,y,d,e,t,n
2310,n,v,d,e,t,n
2311,n,y,d,e,t,n
2312,k,v,d,e,t,n
2313,n,y,d,e,t,n
2314,n,v,d,e,t,n
2315,k,y,d,e,t,n
2316,k,v,d,e,t,n
2317,k,v,d,e,t,n
2318,k,y,d,e,t,n
2319,k,y,d,e,t,n
2320,n,v,d,e,t,n
2321,k,y,d,e,t,n
2322,k,v,d,e,t,n
2323,k,y,d,e,t,n
2324,k,y,d,e,t,n
2325,n,y,d,e,t,n
2326,k,v,d,e,t,n
2327,n,y,d,e,t,n
2328,n,v,d,e,t,n
2329,k,v,d,e,t,n
2330,k,y,d,e,t,n
2331,k,v,d,e,t,n
2332,k,v,d,e,t,n
2333,k,y,d,e,t,n
2334,n,y,d,e,t,n
2335,n,y,d,e,t,n
2336,n,v,d,e,t,n
2337,n,v,d,e,t,n
2338,n,v,d,e,t,n
2339,n,y,d,e,t,n
2340,n,y,d,e,t,n
2341,n,v,d,e,t,n
2342,k,y,d,e,t,n
2343,n,v,d,e,t,n
2344,n,v,d,e,t,n
2345,n,y,d,e,t,n
2346,k,v,d,e,t,n
2347,n,s,g,e,f,n
2348,n,y,d,e,t,n
2349,n,s,g,e,f,n
2350,n,y,d,e,t,n
2351,k,y,d,e,t,n
2352,n,s,u,p,t,p
2353,k,v,d,e,t,n
2354,k,y,d,e,t,n
2355,n,y,d,e,t,n
2356,k,v,d,e,t,n
2357,k,v,d,e,t,n
2358,n,y,d,e,t,n
2359,k,y,d,e,t,n
2360,n,v,d,e,t,n
2361,n,y,d,e,t,n
2362,k,y,d,e,t,n
2363,k,y,d,e,t,n
2364,k,y,d,e,t,n
2365,k,v,d,e,t,n
2366,k,y,d,e,t,n
2367,k,v,d,e,t,n
2368,n,a,g,e,f,n
2369,k,v,d,e,t,n
2370,k,y,d,e,t,n
2371,k,y,d,e,t,n
2372,n,y,d,e,t,n
2373,k,y,d,e,t,n
2374,n,v,d,e,t,n
2375,n,y,d,e,t,n
2376,n,v,u,p,t,p
2377,k,v,d,e,t,n
2378,k,s,g,e,f,n
2379,n,s,g,e,f,n
2380,k,v,d,e,t,n
2381,k,y,d,e,t,n
2382,k,v,d,e,t,n
2383,k,v,d,e,t,n
2384,k,y,d,e,t,n
2385,n,v,d,e,t,n
2386,h,y,d,p,f,f
2387,k,y,d,e,t,n
2388,k,a,g,e,f,n
2389,n,v,g,p,t,p
2390,n,y,d,e,t,n
2391,n,v,d,e,t,n
2392,k,y,d,e,t,n
2393,k,v,d,e,t,n
2394,k,v,d,e,t,n
2395,n,v,d,e,t,n
2396,k,y,d,e,t,n
2397,k,v,d,e,t,n
2398,n,y,d,e,t,n
2399,n,y,d,e,t,n
2400,k,y,d,e,t,n
2401,k,v,g,p,t,p
2402,k,v,d,e,t,n
2403,k,v,d,e,t,n
2404,k,v,d,e,t,n
2405,k,v,d,e,t,n
2406,n,v,d,e,t,n
2407,n,y,d,e,t,n
2408,n,y,d,e,t,n
2409,k,y,d,e,t,n
2410,n,y,d,e,t,n
2411,k,v,d,e,t,n
2412,n,v,d,e,t,n
2413,n,v,d,e,t,n
2414,k,v,d,e,t,n
2415,n,v,d,e,t,n
2416,k,y,d,e,t,n
2417,n,v,d,e,t,n
2418,k,y,d,e,t,n
2419,k,y,d,e,t,n
2420,k,v,d,e,t,n
2421,n,y,d,e,t,n
2422,n,v,d,e,t,n
2423,k,y,d,e,t,n
2424,n,y,d,e,t,n
2425,n,y,d,e,t,n
2426,n,v,d,e,t,n
2427,k,v,d,p,f,c
2428,n,y,d,e,t,n
2429,k,y,d,e,t,n
2430,k,y,d,e,t,n
2431,n,v,d,e,t,n
2432,k,y,d,e,t,n
2433,n,y,d,e,t,n
2434,n,y,d,e,t,n
2435,k,v,d,e,t,n
2436,n,y,d,e,t,n
2437,n,y,d,e,t,n
2438,n,v,d,e,t,n
2439,k,y,d,e,t,n
2440,k,v,d,e,t,n
2441,n,y,d,e,t,n
2442,k,y,d,e,t,n
2443,k,y,d,e,t,n
2444,h,y,g,p,f,f
2445,k,v,d,e,t,n
2446,n,y,d,e,t,n
2447,k,v,d,e,t,n
2448,n,y,d,e,t,n
2449,k,v,d,e,t,n
2450,k,y,d,e,t,n
2451,n,y,d,e,t,n
2452,n,y,d,e,t,n
2453,n,a,g,e,f,n
2454,k,y,d,e,t,n
2455,k,y,d,e,t,n
2456,k,v,d,e,t,n
2457,n,y,d,e,t,n
2458,n,v,d,e,t,n
2459,k,y,d,e,t,n
2460,n,v,d,e,t,n
2461,k,v,d,e,t,n
2462,k,y,d,e,t,n
2463,k,y,d,e,t,n
2464,k,v,d,e,t,n
2465,n,y,d,e,t,n
2466,k,v,d,e,t,n
2467,n,v,d,e,t,n
2468,k,v,d,e,t,n
2469,k,y,d,e,t,n
2470,k,v,d,e,t,n
2471,k,v,d,e,t,n
2472,n,v,d,e,t,n
2473,k,v,d,e,t,n
2474,n,v,d,e,t,n
2475,n,y,d,e,t,n
2476,n,v,d,e,t,n
2477,k,v,d,e,t,n
2478,k,y,d,e,t,n
2479,k,s,u,p,t,p
2480,n,s,g,e,f,n
2481,k,v,d,e,t,n
2482,k,y,d,e,t,n
2483,n,s,d,p,f,c
2484,k,y,d,e,t,n
2485,k,v,d,e,t,n
2486,n,y,d,e,t,n
2487,k,v,d,e,t,n
2488,n,s,g,e,f,n
2489,n,v,d,e,t,n
2490,n,v,d,e,t,n
2491,n,v,d,e,t,n
2492,n,y,d,e,t,n
2493,k,v,d,e,t,n
2494,n,v,d,e,t,n
2495,k,y,d,e,t,n
2496,n,v,u,p,t,p
2497,n,y,d,e,t,n
2498,k,y,d,e,t,n
2499,n,v,d,e,t,n
2500,k,v,d,e,t,n
2501,k,s,g,e,f,n
2502,n,a,g,e,f,n
2503,k,v,d,e,t,n
2504,n,v,d,e,t,n
2505,n,y,d,e,t,n
2506,n,y,d,e,t,n
2507,n,y,d,e,t,n
2508,k,y,d,e,t,n
2509,k,v,d,e,t,n
2510,k,v,d,e,t,n
2511,n,y,d,e,t,n
2512,n,v,d,e,t,n
2513,n,s,d,p,f,c
2514,k,y,d,e,t,n
2515,n,y,d,e,t,n
2516,k,v,d,e,t,n
2517,k,v,d,e,t,n
2518,k,y,d,e,t,n
2519,n,s,g,e,f,n
2520,n,y,d,e,t,n
2521,k,v,d,e,t,n
2522,n,v,d,e,t,n
2523,k,v,d,e,t,n
2524,k,y,d,e,t,n
2525,n,y,d,e,t,n
2526,k,v,d,e,t,n
2527,n,y,d,e,t,n
2528,k,y,d,e,t,n
2529,k,v,d,e,t,n
2530,n,y,d,e,t,n
2531,n,v,d,e,t,n
2532,k,y,d,e,t,n
2533,k,y,d,e,t,n
2534,h,y,p,p,f,f
2535,k,v,d,e,t,n
2536,k,v,d,e,t,n
2537,h,v,d,p,f,f
2538,k,v,d,e,t,n
2539,k,v,d,e,t,n
2540,h,y,d,p,f,f
2541,n,s,d,p,f,c
2542,k,v,d,e,t,n
2543,n,y,d,e,t,n
2544,n,v,d,e,t,n
2545,k,y,d,e,t,n
2546,n,v,d,e,t,n
2547,n,y,d,e,t,n
2548,n,y,d,e,t,n
2549,k,v,d,e,t,n
2550,k,y,d,e,t,n
2551,k,v,d,e,t,n
2552,k,y,d,e,t,n
2553,n,v,d,e,t,n
2554,k,y,d,e,t,n
2555,k,y,d,e,t,n
2556,n,v,d,e,t,n
2557,n,v,d,e,t,n
2558,n,v,d,e,t,n
2559,n,v,d,e,t,n
2560,k,y,d,e,t,n
2561,k,v,d,p,f,c
2562,k,y,d,e,t,n
2563,n,v,d,e,t,n
2564,n,y,d,e,t,n
2565,k,v,d,e,t,n
2566,k,y,d,e,t,n
2567,h,y,d,p,f,f
2568,k,y,d,e,t,n
2569,n,v,d,e,t,n
2570,k,v,d,e,t,n
2571,n,v,d,e,t,n
2572,h,v,g,p,f,f
2573,n,y,d,e,t,n
2574,k,v,d,e,t,n
2575,k,v,d,e,t,n
2576,k,y,d,e,t,n
2577,n,y,d,e,t,n
2578,k,y,d,e,t,n
2579,k,y,d,e,t,n
2580,k,y,d,e,t,n
2581,k,v,d,e,t,n
2582,n,v,d,e,t,n
2583,n,v,d,e,t,n
2584,k,v,d,e,t,n
2585,n,v,d,e,t,n
2586,n,v,d,e,t,n
2587,n,y,d,e,t,n
2588,k,v,d,e,t,n
2589,n,v,d,e,t,n
2590,n,v,d,e,t,n
2591,k,y,d,e,t,n
2592,n,v,d,e,t,n
2593,k,y,d,e,t,n
2594,n,v,d,e,t,n
2595,h,v,p,p,f,f
2596,k,y,d,e,t,n
2597,n,y,d,e,t,n
2598,n,y,d,e,t,n
2599,n,y,d,e,t,n
2600,k,v,d,e,t,n
2601,k,y,d,e,t,n
2602,k,y,d,e,t,n
2603,k,v,d,e,t,n
2604,k,y,d,e,t,n
2605,n,v,d,e,t,n
2606,h,v,p,p,f,f
2607,n,v,d,e,t,n
2608,n,v,d,e,t,n
2609,k,y,d,e,t,n
2610,n,v,d,e,t,n
2611,k,y,d,e,t,n
2612,n,v,d,e,t,n
2613,n,y,d,e,t,n
2614,n,y,d,e,t,n
2615,k,v,d,e,t,n
2616,k,y,d,e,t,n
2617,n,y,d,e,t,n
2618,n,y,d,e,t,n
2619,n,y,d,e,t,n
2620,k,y,d,e,t,n
2621,n,v,d,e,t,n
2622,n,v,d,e,t,n
2623,n,y,d,e,t,n
2624,k,y,d,e,t,n
2625,n,v,d,e,t,n
2626,n,v,d,e,t,n
2627,n,v,d,e,t,n
2628,n,v,d,p,f,c
2629,n,v,d,e,t,n
2630,n,y,d,e,t,n
2631,k,a,g,e,f,n
2632,n,v,d,e,t,n
2633,n,y,d,e,t,n
2634,n,v,d,e,t,n
2635,n,v,d,e,t,n
2636,n,v,d,e,t,n
2637,n,y,d,e,t,n
2638,n,v,d,e,t,n
2639,n,v,d,e,t,n
2640,k,v,d,e,t,n
2641,k,y,d,e,t,n
2642,n,v,d,e,t,n
2643,k,v,d,e,t,n
2644,k,v,d,e,t,n
2645,n,y,d,e,t,n
2646,n,y,d,e,t,n
2647,k,y,d,e,t,n
2648,k,s,g,e,f,n
2649,n,v,d,e,t,n
2650,k,y,d,e,t,n
2651,n,y,d,e,t,n
2652,k,v,d,e,t,n
2653,n,y,d,e,t,n
2654,k,y,d,e,t,n
2655,k,v,d,e,t,n
2656,k,v,d,e,t,n
2657,k,y,d,e,t,n
2658,k,v,d,e,t,n
2659,k,v,d,e,t,n
2660,n,y,d,e,t,n
2661,n,v,d,e,t,n
2662,n,v,d,e,t,n
2663,n,y,d,e,t,n
2664,k,v,d,e,t,n
2665,k,v,d,e,t,n
2666,k,y,d,e,t,n
2667,n,v,d,e,t,n
2668,k,y,d,e,t,n
2669,n,y,d,e,t,n
2670,n,y,d,e,t,n
2671,n,v,d,e,t,n
2672,n,y,d,e,t,n
2673,n,v,d,e,t,n
2674,n,y,d,e,t,n
2675,k,v,d,e,t,n
2676,k,v,d,e,t,n
2677,k,v,d,e,t,n
2678,n,v,d,e,t,n
2679,n,y,d,e,t,n
2680,k,y,d,e,t,n
2681,n,v,d,e,t,n
2682,n,y,d,e,t,n
2683,k,v,d,e,t,n
2684,n,v,d,p,f,c
2685,k,y,d,e,t,n
2686,n,v,d,e,t,n
2687,n,y,d,e,t,n
2688,n,v,d,e,t,n
2689,k,y,d,e,t,n
2690,k,v,d,e,t,n
2691,n,a,g,e,f,n
2692,k,y,d,e,t,n
2693,n,v,d,e,t,n
2694,k,v,d,e,t,n
2695,n,v,d,e,t,n
2696,n,y,d,e,t,n
2697,k,y,d,e,t,n
2698,h,y,g,p,f,f
2699,n,v,d,e,t,n
2700,k,v,d,e,t,n
2701,n,v,d,e,t,n
2702,k,y,d,e,t,n
2703,k,v,d,e,t,n
2704,n,y,d,e,t,n
2705,k,v,d,e,t,n
2706,k,v,d,e,t,n
2707,n,y,d,e,t,n
2708,k,v,d,e,t,n
2709,k,y,d,e,t,n
2710,k,v,d,e,t,n
2711,k,v,d,e,t,n
2712,n,y,d,e,t,n
2713,n,y,d,e,t,n
2714,k,y,d,e,t,n
2715,n,v,d,e,t,n
2716,k,y,d,e,t,n
2717,n,y,d,e,t,n
2718,n,v,d,e,t,n
2719,k,y,d,e,t,n
2720,k,v,d,e,t,n
2721,n,v,d,e,t,n
2722,n,y,d,e,t,n
2723,n,y,d,e,t,n
2724,n,v,d,e,t,n
2725,k,v,d,e,t,n
2726,k,y,d,e,t,n
2727,n,y,d,e,t,n
2728,n,y,d,e,t,n
2729,k,v,d,e,t,n
2730,n,y,d,e,t,n
2731,k,s,g,e,f,n
2732,n,y,d,e,t,n
2733,n,y,d,e,t,n
2734,k,y,d,e,t,n
2735,k,y,d,e,t,n
2736,n,v,d,e,t,n
2737,k,y,d,e,t,n
2738,k,y,d,e,t,n
2739,k,y,d,e,t,n
2740,k,y,d,e,t,n
2741,n,y,d,e,t,n
2742,n,y,d,e,t,n
2743,k,y,d,e,t,n
2744,k,v,d,e,t,n
2745,n,v,d,e,t,n
2746,n,y,d,e,t,n
2747,k,v,d,e,t,n
2748,k,y,d,e,t,n
2749,n,y,d,e,t,n
2750,k,v,d,p,f,c
2751,n,y,d,e,t,n
2752,n,y,d,e,t,n
2753,k,y,d,e,t,n
2754,k,v,d,e,t,n
2755,n,v,d,e,t,n
2756,n,v,d,e,t,n
2757,k,y,d,e,t,n
2758,n,v,d,e,t,n
2759,k,y,d,e,t,n
2760,n,y,d,e,t,n
2761,k,y,d,e,t,n
2762,k,y,d,e,t,n
2763,k,y,d,e,t,n
2764,n,v,d,e,t,n
2765,n,v,d,e,t,n
2766,n,v,d,e,t,n
2767,h,v,d,p,f,f
2768,n,v,d,e,t,n
2769,k,y,d,e,t,n
2770,n,y,d,e,t,n
2771,h,y,d,p,f,f
2772,n,v,d,e,t,n
2773,n,v,d,e,t,n
2774,k,v,d,e,t,n
2775,k,v,d,e,t,n
2776,n,y,d,e,t,n
2777,n,v,d,e,t,n
2778,k,v,d,e,t,n
2779,n,v,d,e,t,n
2780,k,v,d,e,t,n
2781,k,y,d,e,t,n
2782,n,v,d,e,t,n
2783,k,y,d,e,t,n
2784,k,y,d,e,t,n
2785,k,v,d,e,t,n
2786,k,y,d,e,t,n
2787,n,y,d,e,t,n
2788,n,y,d,e,t,n
2789,k,s,g,e,f,n
2790,k,y,d,e,t,n
2791,n,y,d,e,t,n
2792,k,y,d,e,t,n
2793,n,v,d,e,t,n
2794,k,y,d,e,t,n
2795,n,v,d,e,t,n
2796,n,v,d,e,t,n
2797,k,v,d,e,t,n
2798,n,s,d,p,f,c
2799,n,y,d,e,t,n
2800,k,v,d,e,t,n
2801,n,y,d,e,t,n
2802,n,s,g,e,f,n
2803,n,y,d,e,t,n
2804,n,v,d,e,t,n
2805,n,y,d,e,t,n
2806,k,y,d,e,t,n
2807,k,y,d,e,t,n
2808,k,v,d,e,t,n
2809,n,v,d,e,t,n
2810,n,v,d,e,t,n
2811,k,v,d,e,t,n
2812,n,v,d,e,t,n
2813,n,v,d,e,t,n
2814,n,y,d,e,t,n
2815,n,v,d,e,t,n
2816,n,v,d,e,t,n
2817,k,y,d,e,t,n
2818,k,s,g,e,f,n
2819,n,y,d,e,t,n
2820,n,y,d,e,t,n
2821,k,v,d,e,t,n
2822,n,y,d,e,t,n
2823,n,y,d,e,t,n
2824,k,v,d,e,t,n
2825,k,y,d,e,t,n
2826,n,v,d,e,t,n
2827,k,v,d,e,t,n
2828,k,v,d,e,t,n
2829,n,y,d,e,t,n
2830,n,y,d,e,t,n
2831,k,v,d,e,t,n
2832,k,y,d,e,t,n
2833,n,v,d,e,t,n
2834,k,y,d,e,t,n
2835,k,v,d,e,t,n
2836,n,y,d,e,t,n
2837,n,v,d,e,t,n
2838,n,y,d,e,t,n
2839,k,y,d,e,t,n
2840,k,y,d,e,t,n
2841,k,v,d,e,t,n
2842,k,v,d,p,f,c
2843,n,y,d,e,t,n
2844,n,v,d,e,t,n
2845,n,s,g,e,f,n
2846,k,y,d,e,t,n
2847,k,y,d,e,t,n
2848,k,y,d,e,t,n
2849,n,y,d,e,t,n
2850,n,v,d,e,t,n
2851,k,y,d,e,t,n
2852,n,y,d,e,t,n
2853,n,v,d,e,t,n
2854,n,v,d,e,t,n
2855,n,y,d,e,t,n
2856,n,v,d,e,t,n
2857,n,y,d,e,t,n
